id,area_id:id,district_id:id,name,country_id:id,enable
dis_121,City_1,area_1,المعذر,base.sa,1
dis_122,City_1,area_1,المعذر الشمالي,base.sa,1
dis_123,City_1,area_1,المعيزلية,base.sa,1
dis_124,City_1,area_1,المغرزات,base.sa,1
dis_125,City_1,area_1,الملقا,base.sa,1
dis_126,City_1,area_1,الملك عبدالعزيز,base.sa,1
dis_127,City_1,area_1,الملك فهد,base.sa,1
dis_128,City_1,area_1,المناخ,base.sa,1
dis_129,City_1,area_1,المنصورة,base.sa,1
dis_130,City_1,area_1,المونسية,base.sa,1
dis_131,City_1,area_1,الناصرية,base.sa,1
dis_132,City_1,area_1,النخيل,base.sa,1
dis_133,City_1,area_1,الندى,base.sa,1
dis_134,City_1,area_1,النرجس,base.sa,1
dis_135,City_1,area_1,النزهة,base.sa,1
dis_136,City_1,area_1,النفل,base.sa,1
dis_137,City_1,area_1,النموذجية,base.sa,1
dis_138,City_1,area_1,النهضة,base.sa,1
dis_139,City_1,area_1,النور,base.sa,1
dis_140,City_1,area_1,الهدا,base.sa,1
dis_141,City_1,area_1,الواحة,base.sa,1
dis_142,City_1,area_1,الوادي,base.sa,1
dis_143,City_1,area_1,الوزارات,base.sa,1
dis_144,City_1,area_1,الوشام,base.sa,1
dis_145,City_1,area_1,الوشم,base.sa,1
dis_146,City_1,area_1,اليرموك,base.sa,1
dis_147,City_1,area_1,اليمامة,base.sa,1
dis_148,City_1,area_1,ام الحمام الشرقية,base.sa,1
dis_149,City_1,area_1,ام الحمام الغربية,base.sa,1
dis_150,City_1,area_1,ام سليم,base.sa,1
dis_151,City_1,area_1,بدر,base.sa,1
dis_152,City_1,area_1,ثادق,base.sa,1
dis_153,City_1,area_1,ثليم,base.sa,1
dis_154,City_1,area_1,جا معة الاما م محمد بن سعود الاسلامية,base.sa,1
dis_155,City_1,area_1,جا معة الملك سعود,base.sa,1
dis_156,City_1,area_1,جبرة,base.sa,1
dis_157,City_1,area_1,جرير,base.sa,1
dis_158,City_1,area_1,جو,base.sa,1
dis_159,City_1,area_1,حريملاء,base.sa,1
dis_160,City_1,area_1,حطين,base.sa,1
dis_161,City_1,area_1,حفر العتش,base.sa,1
dis_162,City_1,area_1,حفيرة نساح,base.sa,1
dis_163,City_1,area_1,حويرة نساح,base.sa,1
dis_164,City_1,area_1,خشم العان,base.sa,1
dis_165,City_1,area_1,ديراب,base.sa,1
dis_166,City_1,area_1,رغبة,base.sa,1
dis_167,City_1,area_1,رماح,base.sa,1
dis_168,City_1,area_1,رويغب,base.sa,1
dis_169,City_1,area_1,سدوس,base.sa,1
dis_170,City_1,area_1,سلطانة,base.sa,1
dis_171,City_1,area_1,سمحان(الدرعية),base.sa,1
dis_172,City_1,area_1,شبرا,base.sa,1
dis_173,City_1,area_1,شخيب,base.sa,1
dis_174,City_1,area_1,شوية,base.sa,1
dis_175,City_1,area_1,صلاح الدين,base.sa,1
dis_176,City_1,area_1,صلبوخ,base.sa,1
dis_177,City_1,area_1,صياح,base.sa,1
dis_178,City_1,area_1,ضرماء,base.sa,1
dis_179,City_1,area_1,طويق,base.sa,1
dis_180,City_1,area_1,طيبة,base.sa,1
dis_181,City_1,area_1,ظهرة البديعة,base.sa,1
dis_182,City_1,area_1,ظهرة لبن,base.sa,1
