id,name,city_id/id,area_id/id,district_id/id,manager_id/id
dep_601378,مدرسة السعيدان بالعليا,,,,
dep_601377,الشيخ عبدالعزيز الحكير,,,,
dep_601376,حاملات المسك - صباحي,,,,
dep_601375,الأميرتركي بن عبدالله,,,,
dep_601373, جامعة الملك سعود,,,,
dep_601372,المركز النسائي لتحفيظ القرآن والسنة في إسكان جامعة الامام ,,,,
dep_601371,الامير محمد بن عبدالرحمن الفيصل ,,,,
dep_601370,اقرأ - مسائية ,,,,
dep_601369,مسجد عبدالرحمن بن عوف ,,,,
dep_601368,أحمد الحصين ,,,,
dep_601367,قحصان اليامي ,,,,
dep_601366,مجمع الرياحين - المنصورة,,,,
dep_601365,مجمع الرياحين - الصحافة,,,,
dep_601364,مجمع الرياحين - الفلاح,,,,
dep_601363,مجمع الرياحين - الشفا,,,,
dep_601362,مجمع الرياحين - السلام,,,,
dep_601361,مجمع الرياحين - المونسية,,,,
dep_601360,ام انس,,,,
dep_601359,ام خالد,,,,
dep_601358,ام المؤمنين عائشة,,,,
dep_601357,النرجس,,,,
dep_601356,الجوهرة,,,,
dep_601355, ام فهد السعيدان,,,,
dep_601354,العوالي,,,,
dep_601353,الجواهر الحسان صباحي,,,,
dep_601351,والدة محمد الثنيان,,,,
dep_601349,الأبرار,,,,
dep_601348,العلي السالم,,,,
dep_601347,جامع الشيخ عبدالعزيز بن صالح المرشد,,,,
dep_601345,عبد الله بن عمر,,,,
dep_601343,النجاة صباحي (روضة),,,,
dep_601340,الشيباني,,,,
dep_601339,حلقات مسجد أبي أمامة الباهلي,,,,
dep_601338,مسجد/ عبدالعزيز الفياض ,,,,
dep_601337,عبد العزيز المانع,,,,
dep_601334,قسم المتابعة النسائية,,,,
dep_601332,قسم الاختبارات - الجمعية ,,,,
dep_601331,قسم المحاسبة,,,,
dep_601330,قسم الضبط المالي,,,,
dep_601329,أبو بكر الصديق (المنصورة),,,,
dep_601328,قسم البرامج والمسابقات - الجمعية,,,,
dep_601327,قسم الإشراف الرجالي - الجمعية,,,,
dep_601326,قسم الدراسات والتقويم - الجمعية,,,,
dep_601325,قسم التأهيل والتدريب الرجالي  - الجمعية ,,,,
dep_601324,قسم الاشراف المدرسي للنساء (رجال) - الجمعية,,,,
dep_601322,أئمة الدعوة,,,,
dep_601320,الارتقاء (صباحي),,,,
dep_601319,مدينة المهيلب  ,,,,
dep_601318,سعد بن معاذ (2),,,,
dep_601317,تدريب معلمين ومعلمات,,,,
dep_601315,الفتح مسائي,,,,
dep_601312,حصة سليمان العثيم,,,,
dep_601311,النملة مسائي,,,,
dep_601309,الجود صباحي,,,,
dep_601308,محسن مجلي با مجلي,,,,
dep_601307,مسجد العويمرية الشمالي / مجمع الفاروق التعليمي,,,,
dep_601306,مسجد مخطط القصر 2 - مجمع قرآني,,,,
dep_601305,الوالدين مسائي,,,,
dep_601304,مالك بن سعيد,,,,
dep_601303,الشيخ محمد عبدالله الماجد,,,,
dep_601302,سعيد  بن زيد ,,,,
dep_601299,الأميرعبدالعزيز بن فهد ,,,,
dep_601298,حلقات نور الرحمن في مسجد الخريجي الشمالي بعتيقة ,,,,
dep_601297,مدرسة سارة العريفي - مسائي ,,,,
dep_601296,عائشة بنت خميس الذيبان,,,,
dep_601295,سعد الضويحي ,,,,
dep_601294,جامع محمد عبدالله الوهبي الحربي ,,,,
dep_601293,مسجد السهلي,,,,
dep_601291,جامع أم الحمام الشرقية,,,,
dep_601285,نعيم بن مسعود,,,,
dep_601284,مسجد أبي سعيد الخدري ,,,,
dep_601283,حمد الوهيبي / مجمع القراء,,,,
dep_601282,حلقات مسجد الجدتين,,,,
dep_601281,جامع الراجحي ,,,,
dep_601280,أبو هريرة (2),,,,
dep_601279,الطريقي ,,,,
dep_601278,حصة الراضي ,,,,
dep_601277,سعيد السيد,,,,
dep_601275,باجنيد,,,,
dep_601274,الثريا مسائي,,,,
dep_601273,عبدالله بن حمد بن سليم ,,,,
dep_601271,التعاون (3) / مجمع القراء التعليمي,,,,
dep_601268,مسجد عوض الحربي,,,,
dep_601267,مسجد البدر ,,,,
dep_601266,حلقات جامع الرمال,,,,
dep_601265,مها فالح الدوسري,,,,
dep_601264,مسجد الأسرة ,,,,
dep_601263,الزياد,,,,
dep_601256,أم أنس مسائي,,,,
dep_601255,اكاديمية تاج نت ,,,,
dep_601254,قسم مناديب المكاتب الاعلامية ,,,,
dep_601253,عثمان بن عفان ,,,,
dep_601252,جامع أبي عبيدة بن الجراح,,,,
dep_601251,مركز إشراف الدائري الشمالي القسم النسائي,,,,
dep_601250,جامع محمد الدعجاني ,,,,
dep_601249,هياء بنت محمد العيسى,,,,
dep_601248,جامع الشافعي - مجمع جيل القرآن النموذجي,,,,
dep_601247,جامع ضيحة معتق العتيبي,,,,
dep_601246,ابن قيم الجوزية,,,,
dep_601245,أم عبدالله الحسين صباحي,,,,
dep_601244,عبدالله النعيم,,,,
dep_601243,جامع الفرسان,,,,
dep_601242,حذيفة بن اليمان,,,,
dep_601241,أم عبدالله الحسين مسائي,,,,
dep_601239,الأمير عبدالله بن عبدالرحمن الفيصل,,,,
dep_601238,أم أيمن المعيزلية صباحي ,,,,
dep_601237,الفوزاني,,,,
dep_601236,أم رومان بنت عامر مسائي,,,,
dep_601234,الجوزاء,,,,
dep_601232,أبناء أحمد باسودان,,,,
dep_601231,مبارك حمد الدوسري,,,,
dep_601229,مسجد خالد بن الوليد,,,,
dep_601227,الجنان مسائي ,,,,
dep_601225,العباس بن عبدالمطلب صباحي,,,,
dep_601221,عبد الله البندقاني,,,,
dep_601220,مسجد طلحة بن عبيدالله,,,,
dep_601219,جامع سلمان الفارسي,,,,
dep_601215,عبد الله العجلان,,,,
dep_601214,أحمد الجار الله,,,,
dep_601213,اقرأ مسائي,,,,
dep_601212,أزهار البيان مسائي,,,,
dep_601211,الحمراء - المسائية ,,,,
dep_601210,الحمراء - الصباحية ,,,,
dep_601209,قسم الاختبارات - العزيزية,,,,
dep_601208,قسم الاختبارت - الروضة,,,,
dep_601205,قسم الاختبارات - الغرب,,,,
dep_601204,حكمة النسائية المسائية,,,,
dep_601203,الفريان,,,,
dep_601201,قسم الاختبارات - الوسط الشمالي,,,,
dep_601199,قسم الاختبارات - الدائري الشمالي,,,,
dep_601198,قسم الاختبارات - الدائري الغربي,,,,
dep_601197,قسم الإختبارات بالإدارة,,,,
dep_601196,دوحة القرآن.صباحي,,,,
dep_601195,الندى صباحي,,,,
dep_601183,لولوة بنت دعيج العاصمي,,,,
dep_601181,الحكمة صباحي,,,,
dep_601180,مسجد جعفر بن أبي طالب,,,,
dep_601179,عبدالعزيز الرويتع مسائي,,,,
dep_601178,حلقات رتل بمسجد الشيخ عبدالله بن سيف,,,,
dep_601177,اسامة بن زيد,,,,
dep_601175,الامام البخاري,,,,
dep_601172,المركز التربوي ( المتوسطة ),,,,
dep_601171,المركز التربوي (  الابتدائية ),,,,
dep_601170,المركز التربوي ( التلقين ),,,,
dep_601169,نورة الوهيبي - مسائية,,,,
dep_601164,حلقة الإتقات  ( 2 ) ,,,,
dep_601163,الامام ابن تيمية,,,,
dep_601161,ابي بكر الصديق,,,,
dep_601160,الامام مالك,,,,
dep_601159,الامام ابي حنيفة,,,,
dep_601158,عبد الله بن مسعود,,,,
dep_601154,عمر بن العاص,,,,
dep_601151,محمد بن راشد المزيعل,,,,
dep_601149,التلقين,,,,
dep_601146,طرفه بنت حمد الصباحية,,,,
dep_601144,زينب بنت علي بن أبي طالب مسائي,,,,
dep_601143,شماء بنت محمد صباحي,,,,
dep_601142,شماء بنت محمد مسائي,,,,
dep_601141,مسجد الصديق 2,,,,
dep_601139,عبدالله وابنه محمد المعمر ,,,,
dep_601137,العجلان(الخالدية),,,,
dep_601136,السعود,,,,
dep_601135,صفوة التاليات مسائي,,,,
dep_601133,جمانة بنت أبي طالب مسائي,,,,
dep_601132,الشيخ صالح الفوزان,,,,
dep_601131,عبدالعزيز النصار,,,,
dep_601130,ابن جبرين مسائي,,,,
dep_601129,النور صباحي,,,,
dep_601128,الإدارة العامة لمشروع بناء لرعاية الموهوبات,,,,
dep_601127,مركز رعاية الموهوبين بناء بالغرب,,,,
dep_601126,مركز رعاية الموهوبين بناء بالشمال,,,,
dep_601125,مركز رعاية الموهوبين بناء بالشرق,,,,
dep_601124,مركز رعاية الموهوبين بناء بالجنوب,,,,
dep_601121,جامع الأميره فهده العاصي الشريم ,,,,
dep_601120,الإدارة التنفيذية لمشروع بناء رعاية الموهوبات,,,,
dep_601118,جامع العقلة,,,,
dep_601117,جامع حلقات موسى بن النظر,,,,
dep_601116,مجمع حلقات جامعة الأميرة نورة بنت عبدالرحمن ,,,,
dep_601115,الغفران,,,,
dep_601112,أنس بن مالك - مجمع الفريان النموذجي,,,,
dep_601108,مناهل الفرقان مسائي,,,,
dep_601107,الشئون المالية - القسم النسائي,,,,
dep_601106,الخدمات المساندة القسم النسائي,,,,
dep_601104,مسجد ابن عيسى,,,,
dep_601096,الشيخ صالح العبيلان,,,,
dep_601093,جامع أبوبكر الصديق,,,,
dep_601083,الأميرة الجوهرة بنت فيصل مجمع مشكاة التعليمي,,,,
dep_601082,معهد نورين لاعداد المعلمات ,,,,
dep_601081,الملك عبد العزيز بالعليا الشرقية,,,,
dep_601080,مجمع حلقات جامع خديجة بنت محمد بغلف,,,,
dep_601079,الامير متعب بن عبدالعزيز- مجمع أبي موسى الاشعري النموذجي,,,,
dep_601077,الأمير سلطان بن عبدالعزيز ,,,,
dep_601076,الشعلان 2 سلطانه,,,,
dep_601074,الأمير متعب بن عبدالعزيز الشمالي - مجمع ابي موسى الاشعري النموذجي,,,,
dep_601071,العابدين,,,,
dep_601063,مكتب الاشراف النسائي,,,,
dep_601061,العطاء مسائي,,,,
dep_601060,العطاء صباحي,,,,
dep_601059,الياسمين صباحي,,,,
dep_601058,الصفا,,,,
dep_601057,علي الطويل,,,,
dep_601056,الفضل و أم سعود,,,,
dep_601055,معهد تدبر لمعلمات القرآن الكريم ,,,,
