id,name
Job_174,منسق اختبارات الاجزاء
Job_175,منسقة الإشراف الإرشادي
Job_176,منسق إعلامي
Job_177,منسق خدمات
Job_178,مشرف شؤون التقويم التعليمي
Job_179,مشرف-مشرفة خطه ومتابعه
Job_180,دعم فني
Job_181,منسق شؤون موظفين
Job_182,رئيس وحدة العلاقات العامة
Job_183,قهوجي
Job_184,مشرف صيانة
Job_185,مستشار التطوير
Job_186,سكرتير فريق التطوير
Job_187,مندوب بنوك
Job_188,مشرف الشؤون التدريبية
Job_189,رئيس وحدة البرمجة
Job_190,رئيس قسم التأهيل والتدريب الرجالي
Job_191,رئيس وحدة البرامج
Job_192,رئيس قسم البرامج والمسابقات
Job_193,رئيس قسم الموارد البشرية
Job_194,مشرف المسابقات
Job_195,رئيس قسم الاشراف المدرسي
Job_196,سكرتير شؤون المدارس النسائية
Job_197,منسق دعم فني وشبكات
Job_198,رئيسة قسم الإشراف التعليمي والإداري
Job_199,مشرفة الاشراف التعليمي
Job_200,مشرفة الإشراف الإداري والمالي
Job_201,منسقة الإرشاد الطلابي
Job_202,رئيسة قسم البرامج والمناهج
Job_203,رئيس قسم العقارات
Job_204,منسقة اختبار الخاتمات
Job_205,منسقة علاقات عامة
Job_206,منتج
Job_207,منسق إتصال
Job_208,رئيسة قسم الأشراف المالي
Job_209,منسق خدمات المراجعين
Job_210,رئيس قسم تقنية المعلومات
Job_211,منسقة قسم المناهج
Job_212,رئيسة وحدة المتابعة
Job_213,منسق مشاريع
Job_214,مشرف اعمال
Job_215,رئيس قسم الخدمات
Job_216,رئيسةو قسم الاختبارات والمسابقات
Job_217,مشرفة مقيمة
Job_218,مشرف عقار
Job_219,منسق قسم العقارات
Job_220,مشرف الاستثمار
Job_221,منسق الجودة
Job_222, مشرفة بناء لرعاية الموهوبات
Job_223,مشرفة مالية صباحية
Job_224,مندوب معرض
Job_225,رئيس وحدة العلاقات الداخلية
Job_226,منسق
Job_227,منسق إداري
Job_228,موظف استقبال
Job_229,رئيس وحدة الخدمات
Job_230,رئيس قسم العلاقات العامة
Job_231,مشرف دعم برامج
Job_232,مشرفة اختبارات
Job_233,منسق معارض
Job_234,رئيس وحدة الدعم افني
Job_235,رئيس قسم الضبط المالي
Job_236,رئيس وحدة المشاريع والتقارير
Job_237,فني صيانة سباكه
Job_238,مشرفة رعاية الموهوبات
Job_239,معلمة سجون
Job_240,مدير معهد
Job_241,وكيل معهد
Job_242,المساعد لشؤون المعاهد والتدريب
Job_243,مدير إدارة تنمية الموارد المالية
Job_244,مشرفة البرامج التعليمية
Job_245,مشرف الاشراف التعليمي
Job_246,مدير إدارة الشؤون التعليمية
Job_247,مدير إدارة الشؤون المالية
Job_248,رئيس وحدة البنوك
Job_249,رئيسة وحدة مدفوعات الإدارة
Job_250,رئيس وحدة التوظيف
Job_251,رئيس وحدة بناء
Job_252,رئيس وحدة البرمجة
Job_253,مدير إدارة الاستثمار
Job_254,رئيس وحدة المعلومات
Job_255,رئيس وحدة شؤون الموظفين
Job_256,منسق خدمات تدريبية
Job_257,رئيس وحدة الأعلام الجديد
Job_258,رئيس وحدة الاستقطاع
Job_259,رئيس وحدة التواصل
Job_260,رئيس وحدة الاتصالات
Job_261,مدير مكتب الرئيس
Job_262,أخصائي- أخصائية شؤون موظفين
Job_263,منسق دوارت تدريبية
Job_264,أمين مقصف
Job_265,منسق تدريب وتخطيط
Job_266,مشرف إداري ميداني
Job_267,رئيس وحدة العقارات
Job_268,رئيس وحدة الصيانة
Job_269,منسق معلومات
Job_270,مشرف - مشرفة شؤون المدربين
Job_271,أخصائي / أخصائية إدارة تدريب
Job_272,مدير إدارة الخدمات المساندة
Job_273,مشرف شؤون المراكز
Job_274,رئيس وحدة الاشراف
Job_275,منسق عقارات
Job_276,رئيسة وحدة التدريب والتطوير
Job_277,مشرف خدمات
Job_278,امين مشتريات ومستودع
Job_279,منسقة المسابقات
Job_280,مشرفة الإشراف التمهيدي
Job_281,رئيسة قسم المعاهد والتدريب النسائي
Job_282,رئيسة وحدة البرامج
Job_283,مشرفة البرامج النوعية
Job_284,مشرفة المناهج
Job_285,مشرفة الشؤون التدريبية
Job_286,رئيسة وحدة الاشراف
Job_287,مشرفة شؤون الطلاب والمتدربين
Job_288,مشرفة شؤون اعضاء هيئة التدريس والمدربين
Job_289,مشرف خدمات المعاهد ومراكز التدريب
Job_290,مشرف البرامج النوعية
Job_291,رئيسة قسم المدفوعات
Job_292,منسق مشاريع واستثمار
Job_293,مهندس مشاريع
Job_294,رئيس وحدة الميزانية
Job_295,منسقة علاقات عامة
Job_296,رئيس قسم المتابعة
Job_297,منسق مالي
Job_298,رئيس وحدة مشاريع ومتابعة
Job_299,رئيسة وحدة مدفوعات القطاعات
Job_300,مشرفة إدارية
Job_301,مشرف مجمع
Job_302,مشرف الرائدة
Job_303,رئيس الجمعية
Job_304,رئيس وحدة خطة ومتابعة
Job_305,مشرف زيارة
Job_306,مستشار التطوير
Job_307,مشرف التدريب الرجالي
Job_308,مدير إدارة الجمعيات
Job_309,رئيس وحدة الفروع
Job_310,رئيس قسم
Job_311,رئيس وحدة الأجور والرواتب
Job_312,رئيس وحدة التحويل
Job_313,رئيس وحدة عطاء
Job_314,رئيس المركز الإعلامي
Job_315,رئيس وحدة عطاء
Job_316,رئيس وحدة النشر
Job_317,مشرفة تقنية
Job_318,منسق إحصاء
Job_319,منسق تسويق
Job_320,منسق التخطيط
Job_321,رئيس قسم علاقات المحسنين
Job_322,رئيس قسم التواصل
Job_323,رئيس وحدة المعارض
